Surname,Count,Rank,Rate,USRank,USTotal,Source
#Last name / Surname,Number of occurrences among people self-identifying as Asian & Pacific Islander,Surname rank among Asians & Pacific Islanders,% of people with surname self-identifying as 'Asian & Pacific Islander',U.S. Rank,U.S. total occurrences,https://names.mongabay.com/data/asian_pacific_islander.html Derived from US Census Data
CHEW,3403,310,40.00%,3831,8516,
YOSHIDA,3386,311,82.60%,7497,4097,
WEN,3383,312,92.60%,8331,3655,
PASCUAL,3359,313,44.60%,4354,7536,
JACOB,3346,314,15.70%,1541,21354,
PERSAUD,3333,315,38.50%,3766,8649,
UNG,3323,316,84.50%,7794,3933,
VALDEZ,3313,317,3.40%,283,98610,
FRANCISCO,3313,317,18.40%,1833,17976,
KU,3305,319,88.00%,8131,3755,
SAITO,3280,320,77.30%,7249,4243,
BHATT,3274,321,90.70%,8410,3609,
LOW,3255,322,28.40%,2873,11475,
YUNG,3237,323,75.80%,7208,4272,
KOBAYASHI,3236,324,85.80%,8097,3772,
SIU,3235,325,85.60%,8084,3777,
TAI,3229,326,86.50%,8171,3732,
BHAKTA,3229,326,92.20%,8644,3502,
CORPUZ,3214,328,79.60%,7596,4037,
WON,3208,329,91.20%,8607,3518,
RHEE,3195,330,92.30%,8733,3463,
SIM,3186,331,64.80%,6376,4915,
ALAM,3176,332,71.30%,6942,4455,
DAS,3133,333,72.10%,7091,4348,
MAN,3132,334,70.80%,6985,4425,
KATO,3123,335,68.00%,6769,4591,
MUI,3121,336,92.40%,8916,3376,
TON,3104,337,84.00%,8246,3696,
KIMURA,3096,338,82.90%,8165,3735,
HIGA,3090,339,78.70%,7814,3925,
SOK,3035,340,82.40%,8271,3684,
NAVARRO,3033,341,4.10%,388,73970,
CHAUDHRY,3031,342,82.50%,8289,3675,
CHIEN,3028,343,93.50%,9257,3239,
DIAZ,2996,344,1.20%,73,251772,
YOU,2991,345,92.10%,9238,3246,
MERCADO,2986,346,6.40%,674,46437,
GUTIERREZ,2981,347,1.40%,96,212905,
KWAK,2950,348,80.20%,8279,3678,
GU,2947,349,95.10%,9629,3098,
