Surname,Count,Rank,Rate,USRank,USTotal,Source
#Last name / Surname,Number of occurrences among people self-identifying as 'white',Surname rank among whites,% of people with surname self-identifying as 'white',U.S. Rank,U.S. total occurrences,https://names.mongabay.com/data/white.html Derived from US Census Data
RASMUSSEN,34042,601,96.00%,893,35453,
BRANDT,34035,602,95.60%,885,35616,
MICHAEL,33999,603,86.40%,798,39369,
CRANE,33997,604,91.60%,848,37123,
BLACKBURN,33904,605,88.90%,826,38137,
HOLLOWAY,33685,606,60.70%,540,55466,
BLEVINS,33562,607,91.10%,856,36841,
MATHIS,33517,608,64.70%,585,51796,
MCCULLOUGH,33476,609,75.90%,708,44123,
GOULD,33363,610,88.60%,836,37660,
ENGLISH,33355,611,74.10%,692,45032,
HARRELL,33334,612,68.80%,638,48471,
KAUFMAN,33315,613,95.80%,911,34786,
BOONE,33245,614,64.30%,587,51679,
DICKERSON,33207,615,65.10%,602,51017,
